household_id,crop_code,crop_name,household_size,region_code,is_rural,survey_year,region_name,rainfall_belg_mm,rainfall_belg_pct_of_avg,rainfall_meher_mm,rainfall_meher_pct_of_avg,loss_occurred
1010301804034,3.0,MILLET,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804034,7.0,TEFF,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804034,12.0,HARICOT BEANS,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804034,38.0,RED PEPPER,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804049,2.0,MAIZE,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804049,3.0,MILLET,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804049,13.0,HORSE BEANS,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804049,38.0,RED PEPPER,2.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804069,2.0,MAIZE,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804069,3.0,MILLET,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804069,13.0,HORSE BEANS,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804069,38.0,RED PEPPER,3.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804085,2.0,MAIZE,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804085,3.0,MILLET,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804085,7.0,TEFF,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804085,38.0,RED PEPPER,5.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804100,2.0,MAIZE,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804100,3.0,MILLET,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804100,13.0,HORSE BEANS,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804100,38.0,RED PEPPER,4.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804115,2.0,MAIZE,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804115,3.0,MILLET,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010301804115,7.0,TEFF,6.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
